"country","countryCode","date","isVerified","position","productAsin","ratingScore","reviewDescription","reviewImages/0","reviewImages/1","reviewImages/2","reviewImages/3","reviewImages/4","reviewImages/5","reviewImages/6","reviewImages/7","reviewImages/8","reviewImages/9","reviewImages/10","reviewImages/11","reviewReaction","reviewTitle","reviewUrl","reviewedIn","variant"
"Mexico","🇲🇽","2023-04-09","true","358","B09LNFRHGN","5","Me llegó con batería de 99 y en casi dos meses de uso sin falla solo un rayón notorio en la pantalla, al parecer los hacen intencionalmente para que pasen como reacondicionado",,,,,,,,,,,,,"","Excelente",,"Reviewed in Mexico 🇲🇽 on April 9, 2023","Service Provider: UnlockedColor: BlueSize: 128GB"
"Mexico","🇲🇽","2023-03-26","true","359","B09LNFRHGN","4","2 Semanas con este teléfono, Llegó rápido, estética de 8.5, la batería llegó al 90%, aún así dura fácilmente todo el día con un uso normal, el único problema es que el botón lateral se traba un poco( no afecta la función) y que la función de vibración es horrible, no parece de iPhone, creo que lo regresaré porque seguramente en poco tiempo fallará la vibración",,,,,,,,,,,,,"3 people found this helpful","Bueno, pero no al 100",,"Reviewed in Mexico 🇲🇽 on March 26, 2023","Service Provider: UnlockedColor: BlueSize: 256GB"
"Mexico","🇲🇽","2023-04-03","true","360","B09LNFRHGN","4","Llegó con un 88% de batería podía ser mejor (94%), ligeros arañasos en el perfil lateral, lo seleccioné color blanco pero llegó en color negro, con cargador genérico no recomendable usar pues se calienta.",,,,,,,,,,,,,"","Cumple con lo ofertado",,"Reviewed in Mexico 🇲🇽 on April 3, 2023","Service Provider: UnlockedColor: MidnightSize: 256GB"
"United States","🇺🇸","2023-01-13","true","101","B09LNFRHGN","5","I ordered the Red phone and it was packaged very well. I opened the box and I thought it was a new phone. Absolutely perfect. I'm so happy I bought an excellent phone for a great price!!","https://m.media-amazon.com/images/I/610nRaZUMDL._SY88.jpg","https://m.media-amazon.com/images/I/71cBPTvbBqL._SY88.jpg","https://m.media-amazon.com/images/I/61TCoiEQTtL._SY88.jpg","https://m.media-amazon.com/images/I/71iWlKd6PIL._SY88.jpg","https://m.media-amazon.com/images/I/71rJDiGWwSL._SY88.jpg","https://m.media-amazon.com/images/I/71sktnlsbhL._SY88.jpg","https://m.media-amazon.com/images/I/61W7eIvXqmL._SY88.jpg",,,,,,"","Looks like new","https://www.amazon.com/gp/customer-reviews/R2E5XDJT6R0E3K/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States 🇺🇸 on January 13, 2023","Service Provider: UnlockedColor: RedSize: 256GB"
"United States","🇺🇸","2022-12-27","true","102","B09LNFRHGN","5","Received the phone on time before Christmas. It was a gift for my mom so that was nice. The phone itself was in perfect condition. I bought it unlocked and switching her SIM card to the new phone was easy no hassle. Phone was working immediately! Battery life holds up perfectly. This was definitely value for money!","https://m.media-amazon.com/images/I/610nRaZUMDL._SY88.jpg","https://m.media-amazon.com/images/I/71cBPTvbBqL._SY88.jpg","https://m.media-amazon.com/images/I/61TCoiEQTtL._SY88.jpg","https://m.media-amazon.com/images/I/71iWlKd6PIL._SY88.jpg","https://m.media-amazon.com/images/I/71rJDiGWwSL._SY88.jpg","https://m.media-amazon.com/images/I/71sktnlsbhL._SY88.jpg","https://m.media-amazon.com/images/I/61W7eIvXqmL._SY88.jpg",,,,,,"3 people found this helpful","iPhone like new!!","https://www.amazon.com/gp/customer-reviews/R16BS4MWFJF1E1/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States 🇺🇸 on December 27, 2022","Service Provider: UnlockedColor: RedSize: 128GB"
"United States","🇺🇸","2023-01-25","true","103","B09LNFRHGN","5","Phone came in 10/10 Condition and 10/10 Functionality. Battery health came 100%. Phone is perfect. Looks super clean also.","https://m.media-amazon.com/images/I/610nRaZUMDL._SY88.jpg","https://m.media-amazon.com/images/I/71cBPTvbBqL._SY88.jpg","https://m.media-amazon.com/images/I/61TCoiEQTtL._SY88.jpg","https://m.media-amazon.com/images/I/71iWlKd6PIL._SY88.jpg","https://m.media-amazon.com/images/I/71rJDiGWwSL._SY88.jpg","https://m.media-amazon.com/images/I/71sktnlsbhL._SY88.jpg","https://m.media-amazon.com/images/I/61W7eIvXqmL._SY88.jpg",,,,,,"One person found this helpful","Excellent Choice","https://www.amazon.com/gp/customer-reviews/R2LKVDKB24Z9O8/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States 🇺🇸 on January 25, 2023","Service Provider: UnlockedColor: StarlightSize: 128GB"
"United States","🇺🇸","2023-01-12","true","104","B09LNFRHGN","5","Purchased the renewed iPhone 13 and I am very pleased with this purchase. It came from the seller quickly, and is in as perfect condition as possible. Very pleased with everything that this phone is capable of.","https://m.media-amazon.com/images/I/610nRaZUMDL._SY88.jpg","https://m.media-amazon.com/images/I/71cBPTvbBqL._SY88.jpg","https://m.media-amazon.com/images/I/61TCoiEQTtL._SY88.jpg","https://m.media-amazon.com/images/I/71iWlKd6PIL._SY88.jpg","https://m.media-amazon.com/images/I/71rJDiGWwSL._SY88.jpg","https://m.media-amazon.com/images/I/71sktnlsbhL._SY88.jpg","https://m.media-amazon.com/images/I/61W7eIvXqmL._SY88.jpg",,,,,,"","iPhone 13 is great","https://www.amazon.com/gp/customer-reviews/R254K43BC6XOKA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States 🇺🇸 on January 12, 2023","Service Provider: UnlockedColor: MidnightSize: 128GB"
"United States","🇺🇸","2023-01-25","true","105","B09LNFRHGN","5","Phone came in perfect shape. No scratches, cracks, or dents. Works perfectly. Easily set up. Would definitely recommend buying from this seller","https://m.media-amazon.com/images/I/610nRaZUMDL._SY88.jpg","https://m.media-amazon.com/images/I/71cBPTvbBqL._SY88.jpg","https://m.media-amazon.com/images/I/61TCoiEQTtL._SY88.jpg","https://m.media-amazon.com/images/I/71iWlKd6PIL._SY88.jpg","https://m.media-amazon.com/images/I/71rJDiGWwSL._SY88.jpg","https://m.media-amazon.com/images/I/71sktnlsbhL._SY88.jpg","https://m.media-amazon.com/images/I/61W7eIvXqmL._SY88.jpg",,,,,,"One person found this helpful","Perfect condition! I love this phone!","https://www.amazon.com/gp/customer-reviews/R1KJYD8PGKN0PB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States 🇺🇸 on January 25, 2023","Service Provider: UnlockedColor: StarlightSize: 128GB"
"United States","🇺🇸","2023-01-22","true","106","B09LNFRHGN","5","I have to say I was very skeptical buying this phone and just went with my gut. I will definitely be buying again!!","https://m.media-amazon.com/images/I/610nRaZUMDL._SY88.jpg","https://m.media-amazon.com/images/I/71cBPTvbBqL._SY88.jpg","https://m.media-amazon.com/images/I/61TCoiEQTtL._SY88.jpg","https://m.media-amazon.com/images/I/71iWlKd6PIL._SY88.jpg","https://m.media-amazon.com/images/I/71rJDiGWwSL._SY88.jpg","https://m.media-amazon.com/images/I/71sktnlsbhL._SY88.jpg","https://m.media-amazon.com/images/I/61W7eIvXqmL._SY88.jpg",,,,,,"One person found this helpful","Happy with the purchase","https://www.amazon.com/gp/customer-reviews/R7KV0T3GR98M0/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States 🇺🇸 on January 22, 2023","Service Provider: UnlockedColor: MidnightSize: 128GB"
"United States","🇺🇸","2023-01-27","true","107","B09LNFRHGN","5","Very pleased with my purchase! Was expecting a battery life of 100% but the phone is still great","https://m.media-amazon.com/images/I/610nRaZUMDL._SY88.jpg","https://m.media-amazon.com/images/I/71cBPTvbBqL._SY88.jpg","https://m.media-amazon.com/images/I/61TCoiEQTtL._SY88.jpg","https://m.media-amazon.com/images/I/71iWlKd6PIL._SY88.jpg","https://m.media-amazon.com/images/I/71rJDiGWwSL._SY88.jpg","https://m.media-amazon.com/images/I/71sktnlsbhL._SY88.jpg","https://m.media-amazon.com/images/I/61W7eIvXqmL._SY88.jpg",,,,,,"2 people found this helpful","Feels brand new!","https://www.amazon.com/gp/customer-reviews/RQGOAAKSOR9OS/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B09LNFRHGN","Reviewed in the United States 🇺🇸 on January 27, 2023","Service Provider: UnlockedColor: PinkSize: 256GB"
